class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,02cfebc7dc356acdf04caecc0558d080f4ba0370baadf63407ee10a5ececff56,0,8,9,1,0,0,1,459,FALSE,0,1,0,2,0,0,0,459,465,0,1260,1027,2,455,0,4,0,215,273,0,54,2,0,1,0,2510,594,0,455,0,2,1027,0,1,1,0,1,1341532146,0,2218.14177579,1,8,15,2,2,3,2,1341532147,1,2,4062605,0,13,14,1,0,0,1,806.222222222,5969,39,8523.0,16416,630,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.105216181662,0.105216181662,0.105216181662,0.258539604404,0.41337857723,0.00673029759655,0.999304455505,0.999967836093,0.998641074918,0.397855545118,0.483817534154,0.104315592258,0.34457329938,0.358080779653,0.000209065397264,2,20,35,1,3,9,3,32.6673126251,49.5470119325,273.325274125,121.093476026,124363,0,0,0,0,0,0,0,0,4,6,2,1,1,0,7
TRUE,066c8ed0ce25aecf52ee946a34b2df29f0f5666788c7792c6ef8f6c176a77064,0,0,0,0,0,0,0,30,FALSE,0,1,0,1,0,0,0,30,93,0,177,58,2,30,0,0,5,16,24,0,3,3,0,2,0,340,7,0,6,0,2,58,0,2,2,0,1,1237335797,-14400,2386.83602816,2,10,28,1,4,9,5,-129873,0,2,392728,0,0,0,0,0,0,0,274.0,2793,7,1227.0,2740,44,0,1,1237465670,-14400,2387.08655478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.000199108606087,0.000199108606087,0.000199108606087,0.00589754129304,0.00899460364624,0.000611620795107,0.507581953613,0.999995915721,0.0151679915047,0.0079110358923,0.00963889867414,0.00423233421656,0.00722372830014,0.00854329080578,0.00069739065619,1,10,22,1,2,5,5,0.401002690519,2880.48528565,163227.472795,16885.6031571,979365,0,9,17,1,0,2,6,0,16,29,1,4,5,4,6
TRUE,06c59cd5f8607ce473c2028a7cd2e621f419492fcffe95e9cc53afb1ac9c2649,0,0,0,0,0,0,0,40,FALSE,0,1,0,1,0,0,0,40,86,0,320,51,2,37,0,0,7,13,20,0,0,2,0,1,0,620,0,0,8,0,2,51,0,2,2,0,1,1205546209,-21600,2790.61622454,0,20,28,2,0,3,5,-16301258,0,1,510100,0,32,37,1,0,4,1,661.3,11929,5,6324.0,11847,801,0,1,1221847467,-21600,2828.35061806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0160317200323,0.0160317200323,0.0160317200323,0.0186944659836,0.023592338844,0.000685685883569,0.516590322453,0.999996611108,0.0331840337986,0.0212087614163,0.0242407469119,0.0158103123994,0.00875619178871,0.0229235974222,3.1629661845e-05,1,11,23,1,3,5,4,0.57622466097,1427.81451383,110655.611168,17357.7447577,885245,0,0,0,0,0,0,0,1,13,18,2,3,2,0,5
TRUE,0b5c6392f71eb8109ac7e5298913ebfb31ce621949cdbf254ec7cf53e9429f30,0,29,37,2,0,4,4,48,FALSE,0,1,0,1,0,0,0,48,169,0,1203,53,2,47,0,0,11,89,531,0,431,0,0,0,0,2386,0,0,24,0,2,53,0,2,2,0,1,1256750437,-14400,2424.28710841,2,14,35,2,4,10,7,-3942,0,2,1091731,0,55,61,1,0,6,0,746.473684211,9179,34,1334.2,9108,26,0,1,1256754379,-14400,2424.29471258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0111816336819,0.0111816336819,0.0111816336819,0.0501326440817,0.103248059911,0.00637073040413,0.581795050781,0.999991382171,0.163598719391,0.0586260143366,0.108922900589,0.0322371454302,0.0975850687487,0.101714086273,0.00643320966748,2,20,35,1,3,9,3,2.35208788462,194.532271503,19339.7491942,8757.62247627,464154,0,49,76,2,8,11,8,0,39,61,2,7,9,6,6
TRUE,13bcc5a2d00cacdf21922fff9d44dfda5bda29fe9d5c4d1fa182c4c387d8f2df,0,0,0,0,0,0,0,40,FALSE,0,0,0,1,0,0,0,40,110,0,252,101,2,22,0,0,24,13,37,0,0,1,0,1,0,501,0,0,8,0,2,101,0,2,2,0,1,1206636975,-14400,3491.42643229,2,10,28,1,4,9,5,14388,0,1,1615525,0,0,0,0,0,0,0,1161.25,8677,29,3484.0,8626,241,0,1,1206622587,-14400,3491.38480035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0109345083154,0.0147035691148,0.000216843207253,0.511440256586,0.999995556492,0.0228849566802,0.0110071706455,0.0151452538443,0.00855464226647,0.0124227162811,0.0141907882517,0.000176851632145,1,10,22,1,2,5,5,1.43571976393,2245.98203145,140654.607418,11140.9602857,1125237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
TRUE,13ea08f4d3d8ec57de8505daae2a91aa91b6cdb2c253e31c6a3d38e9e6334974,0,8,41,1,2,27,4,1,FALSE,0,1,0,1,0,0,0,1,116,0,181,47,2,57,0,0,17,4,24,0,3,1,0,1,0,360,4,0,43,0,2,47,0,2,2,0,0,-1,-1,-1.0,0,6,35,1,1,25,3,0,0,2,1122328,0,1,16,1,3,11,1,1124.125,8380,29,3097.0,8329,241,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0364512532549,0.0364512532549,0.0364512532549,0.0390025627064,0.0428295743712,0.000903780692429,0.538045833534,0.999981479904,0.0761101871641,0.0399515514285,0.0566751982576,0.0346881401008,0.0530462069508,0.054823188642,0.000737099827022,0,5,33,1,1,25,2,4.15712449579,749.936109028,6278.53473771,5744.19136714,269977,0,5,35,1,2,26,2,0,9,75,1,3,56,7,6
TRUE,1632743ff48fd5538902be934ed5fa7c98ae3f4e0dadc02c8eeb1ef8ff202283,0,0,0,0,0,0,0,16,FALSE,0,0,0,1,0,0,0,16,93,0,210,43,2,50,0,2,0,0,3,0,1,1,0,1,0,416,0,0,8,0,2,43,0,2,2,0,1,1186510198,-14400,3433.18923032,0,21,27,1,0,3,3,1186510199,-14399,1,1577089,0,0,0,0,0,0,0,778.1,5981,29,1968.25,5930,282,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.00896543730043,0.0127110126675,0.00023966632263,0.509238266981,0.999995168018,0.0184813659434,0.00833710227954,0.00924358216109,0.00787033278829,0.0109449231328,0.0125013046352,0.000192312895981,1,6,14,1,3,3,2,1.5240932302,2487.43268633,129346.483832,24064.4645566,1034772,0,0,0,0,0,0,0,0,0,61,1,3,12,46,4
TRUE,1c32ce22d1efe10d01e6d98dd1c4103035b50b4f196c43bd0520e57d3c629e63,0,5,8,1,3,0,0,110,FALSE,0,1,0,1,0,0,0,110,14,0,129,41,2,78,0,0,5,0,5,0,0,1,0,1,0,252,0,0,54,0,2,41,0,2,2,0,1,1232492020,-21600,2377.49232253,3,14,29,1,4,8,3,-242413,0,0,325125,0,0,0,0,0,0,0,15186.8,75750,33,38178.5,75716,641,0,1,1232734433,-21600,2377.9599402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.255856987413,0.255856987413,0.255856987413,0.265987547618,0.269975551108,0.255897287785,0.28532999288,0.285340067973,0.285319917787,0.255534024709,0.255762953211,0.255329724211,0.258967268137,0.264461116858,0.000188068403165,2,20,35,1,3,9,3,1.09188820677,1181.60316991,5514.14804603,7262.53640823,297764,0,0,0,0,0,0,0,1,14,29,1,6,7,2,6
TRUE,1e3a0cca960bf58e86af214f06df1df6bd067ed22fb63b33d2808021a4a39cb6,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,90,0,103,79,1,45,0,2,53,19,74,0,0,1,0,1,0,203,7,0,45,0,1,79,0,1,1,0,1,1278310500,7200,2465.87673611,2,12,26,1,3,6,5,1278310501,7201,2,5103688,0,0,0,0,0,0,0,1141.0,8515,29,3312.33333333,8464,241,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.00618895703791,0.00668052600784,0.000131582850009,0.99999730363,0.99999730363,0.99999730363,0.00618006518365,0.00814357630322,0.00513766316408,0.00746960367258,0.0077180891366,0.000107315521114,1,10,21,1,3,4,4,2.7522861172,9134.7043885,41207.6657509,23472.7212219,1854345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,20e2e6d83205381ce89b54d06a5a56186d623b0c75680cd51d31cfee343ed85c,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,428,0,346,38,2,28,0,4,3,17,24,0,0,1,0,1,0,683,0,0,17,0,2,38,0,2,2,0,1,1189556578,19800,3442.00398727,0,7,8,1,0,0,1,-19800,0,2,3421076,0,0,0,0,0,0,0,883.777777778,6122,48,1978.25,6066,298,0,1,1189576378,19800,3442.06127894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.00603698790082,0.00772156555895,0.000105710984097,0.507552376165,0.999997409045,0.0151073432861,0.00892089726516,0.0109068862415,0.00431601365952,0.00993570467741,0.010577834894,9.6901735422e-05,1,20,32,1,2,7,3,1.77277113054,2825.46119645,113517.052146,50783.946032,1929790,0,0,0,0,0,0,0,5,7,34,1,15,12,0,4
