class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,030af0041cdea39e81f21e340993b41c3ab473449f75deb858338b6c63b543be,0,0,11,1,0,3,8,8,FALSE,0,0,0,1,0,0,4,4,8,0,39,16,2,12,0,0,0,0,0,0,0,1,0,1,0,69,0,0,4,0,2,16,0,2,2,0,1,1264722092,-18000,2439.66452932,0,7,10,1,0,1,2,-24673121,0,0,0,0,0,0,0,0,0,0,1761.55555556,9097,48,3880.5,9044,273,0,1,1289395213,-18000,2487.25928434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.254643012487,0.312159051779,0.00369719267086,0.664108233503,0.999909382533,0.328307084474,-1.0,-1.0,-1.0,0.229298439567,0.30472841945,0.00338909328162,2,20,35,1,3,9,3,0.0,799.666655077,13794.2465514,3448.56228446,55177,0,21,40,1,8,7,4,0,10,27,1,8,6,3,6
TRUE,0707577d460ebae552705fe600451c6ddd0e0cab12c8285883be3b2870d6cbd1,0,0,11,1,0,3,8,2,FALSE,0,3,0,1,0,0,0,2,166,0,128,103,3,57,0,0,0,0,0,0,0,1,0,0,1,254,21,0,3,0,3,103,0,1,1,0,1,1190710735,0,0.0,1,18,32,1,2,6,6,-73822695,18000,0,0,0,7,8,1,0,0,1,3324.125,14466,29,4435.66666667,11491,208,0,1,1264533430,-18000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0728920591387,0.0729554385278,0.0728286797497,0.0792898449208,0.0990274144666,0.00140587008378,0.425147020977,0.999971191187,0.137717650584,-1.0,-1.0,-1.0,0.0663601408943,0.0989870821282,0.00114659076505,1,18,32,1,2,6,6,0.0,683.299209908,57852.6473825,1685.02910985,173558,2,22,36,1,0,8,6,0,3,14,1,8,2,1,0
TRUE,097a55c6f9064d88edc844dc7d15a7387daa49df7b7667d8450e2bfc99f958f6,0,0,11,2,0,3,8,1,FALSE,0,1,0,0,0,0,1,0,30,0,54,17,3,19,0,0,0,0,0,0,0,0,0,0,0,88,0,0,7,0,3,17,0,3,3,0,1,1288375679,-14400,2130.250792,0,20,28,2,0,3,5,-251809,0,0,0,0,0,0,0,0,0,0,745.526315789,9161,34,1276.5,9090,26,0,1,1288627488,-14400,2130.66714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0951909321008,0.0951909321008,0.0951909321008,0.265043646187,0.297971461062,0.0542349877114,0.542643336635,0.99992663512,0.313946663732,-1.0,-1.0,-1.0,0.258267959985,0.292505777484,0.0547668830931,2,20,35,1,3,9,3,0.0,619.568174778,7788.85603016,3207.17628193,54522,0,39,50,2,0,6,5,0,3,18,2,8,3,4,7
TRUE,0e3f08f0241d7530e7cc6e5e7a899c01ae287c07c5db2eb11e93c5a57c71ba89,0,0,11,1,0,3,8,0,TRUE,0,2,0,1,0,0,0,0,222,0,161,132,2,103,0,0,0,0,0,0,0,3,0,2,0,308,21,0,1,0,2,132,0,1,1,0,1,1237375970,0,2045.92587632,1,18,32,2,2,6,6,-55668021,18000,0,0,0,7,8,1,0,0,1,657.0,8260,7,3449.0,8228,39,0,1,1293043991,-18000,2137.96956184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0236133595212,0.0463076571386,0.000919061903718,0.0535663422358,0.0616891144815,0.00287848322129,0.556447662457,0.999986004133,0.112909320781,-1.0,-1.0,-1.0,0.00335434268413,0.00335434268413,0.00335434268413,1,18,32,2,2,6,6,0.0,695.938309429,214348.785651,1623.8560483,214349,2,35,55,1,0,12,8,1,12,35,1,8,9,6,7
TRUE,10c984ab0863c3ccf73ae1bd4b3d15ad0a71a33d7ae4f73ad1afc20ece64508f,0,0,11,1,0,3,8,4,FALSE,0,0,0,1,0,0,2,2,7,0,27,12,2,9,0,0,0,0,0,0,0,1,0,1,0,52,0,0,2,0,2,12,0,2,2,0,1,1202237366,-18000,2319.13072145,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,1178.75,8817,29,3066.66666667,8766,193,0,1,1202219366,-18000,2319.09599923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.184031518235,0.235120840865,0.00544509160697,0.624924683671,0.999888420254,0.249960947089,-1.0,-1.0,-1.0,0.116667782464,0.228894691036,0.00444087389257,1,20,32,1,2,7,3,0.0,861.749983428,22405.4887973,3734.24968881,44811,0,56,77,1,4,10,7,1,19,38,1,8,8,3,6
TRUE,120c1e09212b3450b63158278e2953ddfec6eb8e71372dd72118cece4994401e,0,0,11,1,0,3,8,10,FALSE,0,0,0,0,0,0,5,5,7,0,35,13,2,12,0,0,0,0,0,0,0,2,0,1,0,61,0,0,5,0,2,13,0,2,2,0,1,1229484386,-18000,2371.69055941,2,6,17,1,3,4,4,18000,0,0,0,0,0,0,0,0,0,0,8435.55555556,75171,29,25135.3333333,75110,31,0,1,1229466386,-18000,2371.65583719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.979189281698,0.985715199182,0.973182428544,0.997813159409,0.999961634376,0.995664684443,-1.0,-1.0,-1.0,0.980024298229,0.980203337809,0.979845258648,1,20,32,2,2,7,3,0.0,1281.88522489,15638.9968722,6014.99953731,78195,0,61,95,1,7,15,12,1,19,39,1,7,9,4,6
TRUE,138d1e9a963341c5eb0832ce0fbe108e0b1734687ce8d84160880169519d23b5,0,0,11,1,0,3,8,10,FALSE,0,4,0,1,0,0,0,10,340,0,221,47,5,45,0,0,0,0,0,0,0,1,0,1,0,435,7,0,5,0,5,47,0,8,8,0,1,1261903254,-18000,2086.48024802,1,18,32,1,2,6,6,-29757366,0,0,0,0,7,8,1,0,0,1,18140.4285714,126402,37,452.5,799,106,0,1,1291660620,-18000,2135.68224206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.629326659387,0.629408189585,0.629245129188,0.640971021132,0.672317780007,0.00127977705197,0.763552542507,0.999980235103,0.70440114834,-1.0,-1.0,-1.0,0.537535020926,0.671690244541,0.00112165787952,1,18,32,1,2,6,6,0.0,465.23907939,40475.7919048,4305.9360786,202379,0,30,46,1,0,8,8,0,3,13,1,7,2,1,7
TRUE,183e9abc8cc9893edbc79f8351418e06b7ea941b6563db0bd5a0ceef02b0a80e,0,9,16,1,0,3,4,2,FALSE,0,2,0,1,0,0,0,2,11,0,20,3,2,8,0,0,0,0,0,0,0,1,0,1,0,37,0,0,1,0,2,3,0,2,2,0,1,1131582254,-18000,2182.83613812,0,12,16,1,0,1,3,-97111586,0,0,0,0,7,8,1,0,0,1,1174.125,8853,29,2995.66666667,8802,17,0,1,1228693840,-18000,2370.16558642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.286132094883,0.286293759737,0.285970430029,0.24632523351,0.299285735281,0.00717204079833,0.655536286411,0.999853031951,0.311219540872,-1.0,-1.0,-1.0,0.00584932835602,0.00584932835602,0.00584932835602,0,17,26,1,0,3,6,0.0,919.486461636,34020.965979,11340.3295532,34021,0,118,155,1,0,23,14,0,3,20,1,11,5,1,6
TRUE,19175ecf831a30b74ca48463a0f3203e2052272eaa40e360cb44d1ef5e06c2ce,0,0,11,1,0,3,8,8,FALSE,0,0,0,1,0,0,4,4,7,0,32,14,2,11,0,0,0,0,0,0,0,1,0,1,0,60,0,0,4,0,2,14,0,2,2,0,1,1263512422,-18000,2437.33106096,0,0,3,1,0,0,3,18000,0,0,0,0,0,0,0,0,0,0,780.3,5990,29,1871.75,5939,241,0,1,1263494422,-18000,2437.29633873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.13894177911,0.17022113943,0.00464767616192,0.592063343328,0.999906296852,0.184220389805,-1.0,-1.0,-1.0,0.123285232384,0.163268365817,0.00372938530735,2,20,35,1,3,9,3,0.0,889.333318511,13339.996665,3811.42829918,53360,0,35,51,1,4,7,5,0,10,21,1,8,2,1,6
TRUE,1b5f706505552aae8508d9fc14eeac4bb4e3ceed23abc7aeeab1200ad07fdd9e,0,7,8,1,0,0,1,1,FALSE,0,0,0,1,0,0,0,1,6,0,22,9,2,5,0,0,0,1,4,0,3,1,0,1,0,41,0,0,1,0,2,9,0,2,2,0,0,-1,-1,-1.0,2,14,26,1,3,6,3,0,0,1,4228,0,0,0,0,0,0,0,1117.875,8403,29,2877.66666667,8352,113,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.284650982951,0.394992810623,0.0103188699992,0.719868053793,0.999788547746,0.439947559841,0.400955764188,0.414023513491,0.395584876935,0.00841579971242,0.00841579971242,0.00841579971242,2,20,35,1,3,9,3,0.178804026051,576.73169325,23645.976354,2627.33304141,23646,0,0,0,0,0,0,0,3,37,66,1,12,14,3,2
TRUE,1c9d01a785057df983bf84b39bad8153a3f577124e4f27e694fcc099b8357753,0,0,11,1,0,3,8,16,FALSE,0,0,0,1,0,0,8,8,8,0,43,18,2,16,0,0,0,0,0,0,0,1,0,1,0,83,0,0,8,0,2,18,0,2,2,0,1,1267662739,-18000,2445.33707369,0,7,10,1,0,1,2,18000,0,0,0,0,0,0,0,0,0,0,1125.25,8462,29,2988.0,8411,168,0,1,1267644739,-18000,2445.30235147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.115532986931,0.133555428486,0.00303309052035,0.573627029312,0.999937846506,0.147316212117,-1.0,-1.0,-1.0,0.110306913955,0.125972702185,0.00247370907192,2,20,35,1,3,9,3,0.0,969.228903985,10055.748743,4469.22197393,80446,2,47,82,1,4,17,14,0,10,21,1,8,2,1,6
TRUE,1f483450691dc30ea705a0ac9797903c1772a72b123d8818aa6ad192ade5cb8e,0,0,11,1,0,3,8,0,TRUE,0,2,0,0,0,0,0,0,13,0,31,10,3,11,0,0,0,1,1,0,0,2,0,1,0,53,0,0,1,0,3,10,0,3,3,0,1,1284989839,0,2124.65251157,0,20,28,2,0,3,5,-112007,14400,0,4225,0,0,0,0,0,0,0,8559.44444444,76285,29,25467.0,76224,31,0,1,1285101846,-14400,2124.83770833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.465830734241,0.465863914142,0.46579755434,0.466479250496,0.467022194338,0.465936306655,0.64980323313,0.999981901872,0.474695800631,0.469935992954,0.469935992954,0.469935992954,0.469236198669,0.469236198669,0.469236198669,0,27,41,2,0,5,9,0.0254881970042,3127.60371457,165762.834237,16576.2983424,165763,0,41,64,1,0,11,12,1,15,33,1,7,8,3,7
TRUE,1f5cdc403ae2f84357824ac42ddb3f646c834238b2059320fa2d24c80e9b2eef,0,0,11,1,0,3,8,8,FALSE,0,0,0,1,0,0,1,7,6,0,33,12,2,7,0,0,0,0,0,0,0,1,0,1,0,48,0,0,7,0,2,12,0,2,2,0,1,1264526586,-18000,2439.28739583,0,0,3,1,0,0,3,-28490147,0,0,0,0,0,0,0,0,0,0,258.058823529,1708,8,922.5,1652,161,0,1,1293016733,-18000,2494.24524113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.133188346567,0.164146426903,0.108769266698,0.589517164876,0.999912424101,0.179121905652,-1.0,-1.0,-1.0,0.114561786882,0.120854740775,0.108302195236,2,20,35,1,3,9,3,0.0,713.666651799,4893.71358661,2854.66642878,34256,0,36,63,1,4,12,11,0,10,23,1,8,3,2,6
TRUE,2514ea31bb3300ed4d940f6a51f8a95e648adc4b9e4dc7116f504e21e0c2f82d,0,0,11,1,0,3,8,4,FALSE,0,0,0,1,0,0,2,2,8,0,31,13,2,10,0,0,0,0,0,0,0,1,0,1,0,59,0,0,2,0,2,13,0,2,2,0,1,1264790172,-18000,2439.79585648,0,7,10,1,0,1,2,18000,0,0,0,0,0,0,0,0,0,0,1124.125,8380,29,2929.0,8329,217,0,1,1264772172,-18000,2439.76113426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.18905101193,0.239876781263,0.00573766636881,0.628909373089,0.999882424869,0.257936321309,-1.0,-1.0,-1.0,0.118633306683,0.232587123172,0.00467949019423,2,20,35,1,3,9,3,0.0,720.7796488,21262.9893685,3271.2305176,42526,0,50,77,1,4,12,11,0,10,25,1,8,3,4,6
TRUE,28119dd236c9a4a30b20e1ee14951a07aa02d50244d3c46ad7f4b5d6fde807e8,0,0,15,1,0,5,10,2,FALSE,0,2,0,3,0,0,0,2,25,0,34,7,2,13,0,0,0,0,0,0,0,2,0,1,0,57,0,0,1,0,2,7,0,2,2,0,1,1126283059,-18000,2172.61392554,0,0,2,2,0,0,2,-102408879,0,0,0,0,8,8,1,0,0,0,734.6,6497,29,2178.33333333,6424,30,0,1,1228691938,-18000,2370.16191744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.204446686326,0.204588959594,0.204304413058,0.194626956617,0.214211806094,0.00770862434684,0.621837653267,0.999922396399,0.243752910135,-1.0,-1.0,-1.0,0.0111231827823,0.0111231827823,0.0111231827823,0,17,26,2,0,3,6,0.0,678.210514417,38657.961342,5522.57063963,38658,0,34,51,1,3,9,5,1,5,25,1,10,8,2,6
TRUE,2a830b281a73d01aa673bd5fdd3ebcd84fbb13dc4977dbdd96e4954f235d7715,0,8,8,1,0,0,0,6,FALSE,0,1,0,0,0,0,0,6,8,0,28,9,2,14,0,0,0,1,1,0,0,2,0,1,0,52,0,0,3,0,2,9,0,2,2,0,1,1206987425,-14400,2328.2936439,3,14,29,1,4,8,3,-3953429,0,0,4225,0,0,0,0,0,0,0,7581.66666667,22131,13,145.0,145,145,0,1,1210940854,-14400,2335.91985725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.389352925133,0.389352925133,0.389352925133,0.394236669849,0.399921587345,0.389557479885,0.708270830492,0.999948861312,0.416592799673,0.402120550934,0.402120550934,0.402120550934,0.398404472931,0.398523796536,0.398285149325,2,20,35,2,3,9,3,0.0720203191054,1128.15382446,19554.6601484,6518.22149798,58664,0,0,0,0,0,0,0,2,22,44,1,9,10,3,6
TRUE,2cb34e668a3fe515beebb9fbcf0404198eaa3a6b389fcfac27d6888d0767df03,0,0,19,1,0,5,14,5,FALSE,0,0,0,1,0,0,0,5,11,0,23,12,2,7,0,0,0,0,0,0,0,1,0,1,0,44,1,0,1,0,2,12,0,2,2,0,1,1258402288,-18000,2427.47354938,2,10,28,1,4,9,5,1827,0,0,0,0,0,0,0,0,0,0,1152.25,8605,29,2988.0,8554,169,0,1,1258400461,-18000,2427.47002508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0531647463366,0.0626019335595,0.00151311260907,0.533858995268,0.999968993594,0.0677489969428,-1.0,-1.0,-1.0,0.00123405495575,0.00123405495575,0.00123405495575,1,10,22,1,2,5,5,0.0,3664.93173489,161256.838743,13438.0822135,161257,0,65,94,1,0,17,12,1,12,34,1,10,9,3,6
TRUE,2db1d4b3be4a9835bcfa1e6df3911cf9f949debce7d0b2ac98cc7c9676461e73,0,0,11,1,0,3,8,36,FALSE,0,0,0,1,0,0,18,18,8,0,74,31,2,26,0,0,0,0,0,0,0,1,0,0,1,147,0,0,18,0,2,31,0,2,2,0,1,1266024036,-18000,0.0,0,7,10,1,0,1,2,18000,0,0,0,0,0,0,0,0,0,0,2978.125,11786,29,4121.33333333,11403,208,0,1,1266006036,-18000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0999258414572,0.111401782786,0.00181856124974,0.563258354947,0.999962734401,0.126553975494,-1.0,-1.0,-1.0,0.0964682149281,0.102472945175,0.00148317085532,2,20,35,1,3,9,3,0.0,912.734687668,7453.99958589,4328.12889264,134172,0,21,38,1,8,6,3,0,10,30,1,12,6,2,0
