class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,04e12831ac012c736dda699d944476ee54cc383e1efde9ac86c23703cb0b283a,2,4,7,1,0,3,0,21,FALSE,0,0,0,2,0,0,2,19,149,0,599,90,2,36,0,1,4,6,18,0,7,1,0,1,0,1208,17,0,47,0,1,91,1,3,2,0,1,22559,-22560,0.261099537037,1,3,9,1,1,5,0,22560,8580,3,1074001,0,0,0,0,0,0,0,747.25,2826,36,2121.5,2761,1482,0,1,-1,-31140,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.00704663916319,0.0212347175285,0.00403436968044,0.0208124328251,0.0379519430464,0.0036729226038,0.0101899048507,0.0194537258275,0.00386617153586,0.0180480137048,0.0186234711564,0.000219492614193,0,6,20,1,3,2,9,1.28117003878,693.954469624,17836.1060035,9212.05484382,838297,0,22,28,1,1,5,0,1,34,49,1,0,8,7,1
TRUE,056970d0a7d506c0a3fadcf317473c276e718568d58e545a2e67d3b605960fba,2,4,7,1,0,3,0,20,FALSE,0,0,0,2,0,0,2,18,144,0,548,88,2,34,0,1,4,6,18,0,7,1,0,1,0,1101,14,0,44,0,2,89,1,3,3,0,1,21839,-21840,0.0842554012346,1,6,13,1,1,5,1,-2171972,7440,3,1074001,0,0,0,0,0,0,0,1785.88888889,9211,48,4221.5,9158,291,0,1,2193811,-29280,8.46377700617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0220144131837,0.0352998884858,0.000239967251528,0.52517891676,0.99999411845,0.0503637150695,0.0252718452541,0.0336189414151,0.0195020444269,0.0319413628686,0.0328519872582,0.000219969980567,1,6,25,1,4,4,11,1.263358177,772.130789489,19320.8177427,9551.86506121,850116,0,23,31,1,1,6,1,1,32,44,1,0,7,5,3
TRUE,06c39e88fe13329f55cf1a21f01ac796ece5af59a7770f040ed7aed9435f0f4e,2,4,7,1,0,3,0,23,FALSE,0,0,0,2,0,0,2,21,139,0,519,82,2,33,0,1,4,5,17,0,7,1,0,1,0,1051,13,0,44,0,2,82,0,3,3,0,1,21119,-21120,0.0814776234568,1,6,13,1,1,5,1,-25989630,6900,3,1069776,0,0,0,0,0,0,0,780.0,5881,29,2139.25,5830,282,0,1,26010749,-28020,100.350111883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0129502162939,0.0256777866785,0.000300551779133,0.520199988123,0.999993940488,0.0404060357584,0.0153001956937,0.0240720160844,0.0100406108473,0.0225698906831,0.0232673129338,0.000241168564708,1,7,25,1,4,4,10,1.29646403256,785.108467379,18753.3859374,10062.7925602,825149,0,22,29,1,1,5,1,1,32,45,1,0,7,6,3
TRUE,0739b7464450dacc0b5d4dbec7c1146e8bc272112c97736854407ed2b19f24ac,2,4,7,1,0,3,0,20,FALSE,0,0,0,2,0,0,2,18,145,0,550,89,2,34,0,1,4,6,18,0,7,1,0,1,0,1105,14,0,44,0,2,89,0,3,3,0,1,21899,-21900,0.084486882716,1,6,13,1,1,5,1,-1674918,7440,3,1074001,0,0,0,0,0,0,0,1852.11111111,9643,48,4372.75,9590,291,0,1,1696817,-29340,6.54636188272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0226585489393,0.0359912803904,0.000239472315709,0.52553901814,0.99999413058,0.0510839056996,0.0259445950277,0.0343044092253,0.0201614559917,0.0326131359956,0.0335390369222,0.0002195162894,1,6,24,1,3,4,11,1.26075248306,770.925791158,19360.74956,9571.60663403,851873,0,23,31,1,1,6,1,1,32,45,1,0,7,6,3
TRUE,0c52fecc628d82fef4ea4086be426981774768bc5f88593a345d64a4af1e54c5,2,5,8,1,0,3,0,25,FALSE,0,0,0,2,0,0,2,23,150,0,620,88,2,34,0,1,5,6,20,0,8,2,0,1,0,1256,17,0,49,0,2,88,0,3,3,0,1,24359,-24360,0.0,1,2,5,1,0,3,0,24360,9960,3,1139027,0,0,0,0,0,0,0,330.222222222,2526,24,1350.0,2469,155,0,1,-1,-34320,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.00950535426553,0.0277023397962,0.00525149215907,0.0494436081125,0.0494481469994,0.0494390692256,0.0126719670779,0.0255282129646,0.0049958015296,0.0236438338527,0.0243798745754,0.000260229516382,0,4,16,1,2,1,9,1.72330491486,526.238056906,13488.8772757,7510.85218738,660955,0,23,30,1,1,6,0,1,36,50,1,0,6,8,0
TRUE,0d183cc6f7288a980e2fda46515905a440aeb7c79e313fb0fb9232879b6fbbd6,2,5,9,1,0,4,0,34,FALSE,0,1,0,3,0,0,2,32,170,0,572,88,2,37,0,1,5,7,22,0,9,3,0,2,0,1141,14,0,50,0,2,89,1,3,3,0,1,22859,-22860,0.0881905864198,1,11,21,2,2,6,2,-244638937,9660,3,1143253,0,0,0,0,0,0,0,164.642857143,1349,7,927.333333333,1442,44,0,1,244661796,-32520,943.91125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.000259565597472,0.000259565597472,0.000259565597472,0.00834934027407,0.0235505345975,0.000802904982853,0.5206341201,0.999994620402,0.0412736197969,0.0111217684205,0.0215963956694,0.00399838612064,0.0197435276713,0.0203537085603,0.000915876538229,2,11,28,2,0,7,10,1.53756035236,651.665205389,14870.9997026,8354.49428815,743550,0,26,34,1,1,6,1,1,33,47,1,0,7,7,3
TRUE,0e80db541381b8cca75edf613eff04638bb3255f212f911e3ac219992c36482a,2,4,7,1,0,3,0,24,FALSE,0,0,0,2,0,0,2,22,147,0,560,86,2,35,0,1,4,6,19,0,8,1,0,1,0,1134,14,0,47,0,2,87,1,3,3,0,1,22139,-22140,0.085412808642,1,6,13,1,1,5,1,-23595513,7860,3,1074002,0,0,0,0,0,0,0,1124.125,8380,29,3324.0,8329,241,0,1,23617652,-30000,91.1174845679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0139441564416,0.0270717104683,0.000282890678984,0.521140861008,0.99999420306,0.042287518956,0.0167076357784,0.0254334951839,0.0109678107508,0.023902683633,0.0245998951913,0.000230718217696,1,6,24,1,3,4,11,1.24518506152,760.603173932,18351.5740776,9914.06885156,862524,0,23,31,1,1,6,1,1,34,48,1,0,8,6,3
TRUE,0ef19c4ed674f526b14c33d5b91f85b7ba62736823971ac9caad0b081f340811,2,4,7,1,0,3,0,20,FALSE,0,0,0,2,0,0,2,18,144,0,548,88,2,34,0,1,4,6,18,0,7,1,0,1,0,1101,14,0,44,0,2,89,1,3,3,0,1,21839,-21840,0.0842554012346,1,6,13,1,1,5,1,-1883003,7440,3,1074001,0,0,0,0,0,0,0,1826.22222222,9484,48,4314.25,9431,291,0,1,1904842,-29280,7.34892746914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0224285145857,0.0357346547833,0.000239893035929,0.525393971394,0.999994120269,0.0507938225191,0.0256940336799,0.0340448200155,0.0199228814446,0.0323578449352,0.0332781030576,0.000219901949601,1,6,25,1,4,4,11,1.26296745334,772.36966324,19326.7950153,9554.82011736,850379,0,23,31,1,1,6,1,1,32,44,1,0,7,5,3
TRUE,11b2215df307256f8b3770ffe65bb7787f75a612eceb42a6a73df5b682ec82a0,2,6,10,1,0,4,0,34,FALSE,0,1,0,3,0,0,2,32,173,0,576,91,2,37,0,1,5,7,22,0,9,3,0,2,0,1149,15,0,50,0,2,92,1,3,3,0,1,23279,-23280,0.0898109567901,1,11,22,2,2,7,2,-270279182,10260,3,1143253,0,0,0,0,0,0,0,437.928571429,5193,7,2227.33333333,5161,39,0,1,270302461,-33540,1042.83356867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.000264971961783,0.000264971961783,0.000264971961783,0.0139693514686,0.0299766964133,0.00085069945625,0.524268642521,0.999994421643,0.0485428633986,0.0169549726426,0.0278945746294,0.00949436376746,0.0258641084321,0.0266059741415,0.000992947562049,2,11,28,2,0,7,10,1.5943683696,624.07049554,14341.1397132,7794.09774137,717057,0,27,36,1,1,7,1,1,34,48,1,0,7,7,3
TRUE,125d796196837bef55d5175826cd702b5db61d8410a349a2978f47a869d03ab1,2,5,8,1,0,3,0,23,FALSE,0,0,0,2,0,0,2,21,143,0,549,84,2,34,0,1,4,6,18,0,7,1,0,0,1,1114,14,0,46,0,2,84,0,3,3,0,1,21839,-21840,0.0,1,7,14,1,1,5,1,-46969668,7920,3,1074001,0,0,0,0,0,0,0,3286.125,14250,29,4324.33333333,11403,208,0,1,46991507,-29760,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0178587648841,0.031164419177,0.000291669605278,0.523270811642,0.999994023164,0.046547600121,0.0208790810335,0.0295231799637,0.0149349182309,0.0278913997433,0.0286900090011,0.000237878079714,1,6,24,1,3,4,11,1.28382560548,750.954218356,18186.1517786,9959.08321477,836563,0,23,31,1,1,6,1,1,34,48,1,0,8,6,0
