class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,02f52755ae58c7609d346300d401696bf9af977fa54bbec447935b985783e8e1,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,4,0,10,3,1,3,0,0,0,0,0,0,0,1,0,1,0,10,0,0,2,0,1,3,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.333333333,6042,48,2428.66666667,5986,298,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.582197330791,0.987488083889,0.0243088655863,0.999404194471,0.999404194471,0.999404194471,-1.0,-1.0,-1.0,0.506255958055,0.990228789323,0.0222831267874,1,0,10,1,3,3,4,0.0,839.19991608,4195.997902,2797.33240089,8392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,0764bfe0473cb1dfc4dfce7619f1abd2e8e6c10e3a55e93779d5322f3df27981,0,7,8,1,0,0,1,1,FALSE,0,0,0,1,0,0,0,1,7,0,13,4,2,5,0,0,0,1,1,0,0,1,0,1,0,24,0,0,2,0,2,4,0,2,2,0,0,-1,-1,-1.0,3,14,29,1,4,8,3,-1228301348,-3601,0,4225,0,0,0,0,0,0,0,1145.75,8553,29,2928.0,8502,41,0,1,1228301347,3600,3554.11269387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.245644525275,0.32559404426,0.0082945235748,0.671567460992,0.999830030255,0.343304891729,0.33405853758,0.33405853758,0.33405853758,0.1694258422,0.332086888534,0.00676479586634,2,20,35,1,3,9,3,0.143624434851,1225.70828226,14708.4926458,7354.24816144,29417,0,0,0,0,0,0,0,1,30,50,1,4,9,7,4
TRUE,084c3d5bcaf15384173ea1e1802426888fb3d7af6817edcbd62168f15a5bb97b,1,10,12,1,0,2,0,4,FALSE,0,0,0,1,0,0,0,4,4,0,22,9,2,7,0,0,0,1,1,0,0,1,0,1,0,37,0,0,2,0,2,9,0,2,2,0,1,1183067865,-14400,3423.22877604,3,14,29,1,4,8,3,14400,0,0,4225,0,0,0,0,0,0,0,338.833333333,1860,4,969.5,1810,129,0,1,1183053465,-14400,3423.18710938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0507927368443,0.054494231837,0.0470912418516,0.534526722737,0.999938308417,0.0691151370581,0.0561393407226,0.0561393407226,0.0561393407226,0.0286043307491,0.0534249110613,0.00378375043698,2,20,35,1,3,9,3,0.0868823130231,1314.29726178,24314.4878428,5403.22162186,48629,0,0,0,0,0,0,0,1,18,43,1,3,12,10,4
TRUE,0da935989f4e41bf4c57da989a62efa736a4c7295a6740ea74997c5b19adba7a,0,9,14,1,0,3,2,74,FALSE,0,0,0,1,0,0,0,74,79,0,1119,33,2,46,0,0,5,0,5,0,0,1,0,1,0,2228,0,0,37,0,2,33,0,2,2,0,0,-1,-1,-1.0,1,16,30,1,2,6,6,0,0,0,325125,0,0,0,0,0,0,0,877.333333333,6047,48,1941.75,5991,298,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.02844791759,0.0453208095137,0.000322691883034,0.54138048853,0.999992090885,0.0827688861752,0.013171839755,0.0132604218405,0.0130832576695,0.0422424110334,0.0436013679605,0.000295800892781,2,20,35,1,3,9,3,0.514290188585,283.744165043,17085.9995382,19157.0297225,632182,0,0,0,0,0,0,0,0,44,54,1,0,10,0,3
TRUE,0e7024da7b76e9668c9cddef9d258e9f051b62908a70d743b38e8dcd26a38838,0,0,10,2,0,3,7,8,FALSE,0,1,0,0,0,0,0,8,2,0,21,9,2,6,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4,0,2,9,0,2,2,0,0,-1,-1,-1.0,0,0,2,2,0,0,2,-1130787121,17999,0,0,0,0,0,0,0,0,0,748.263157895,9213,34,1407.0,9142,26,0,1,1130787120,-18000,3271.95347222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.292641669016,0.292641669016,0.292641669016,0.724533408514,0.85429940795,0.166732449958,0.930109952072,0.999774457288,0.860445446856,-1.0,-1.0,-1.0,0.677784042853,0.84798421201,0.168367634621,0,17,26,1,0,3,6,0.0,771.086922996,4433.74889156,1970.5553366,17735,0,45,57,2,0,6,6,1,12,30,2,8,8,2,4
TRUE,117ebc49e3a5f17d3030bd43e3a9c16a4ead504162eaa5d21a137e814ed2249b,0,10,13,1,0,1,2,19,FALSE,0,0,0,1,0,0,0,19,6,0,59,11,1,25,0,0,0,0,0,0,0,1,0,1,0,118,0,0,19,0,1,14,3,1,1,0,0,-1,-1,-1.0,3,14,29,1,4,8,3,-1155637340,-1,0,0,0,0,0,0,0,0,0,1117.875,8403,29,2901.33333333,8352,168,0,1,1155637339,0,4458.47738812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0930942516066,0.104791804037,0.00240131481828,0.999950792729,0.999950792729,0.999950792729,-1.0,-1.0,-1.0,0.0963820224603,0.102213343044,0.00195844938048,1,10,22,1,3,4,5,0.0,861.110162194,5347.94708695,7257.92805301,101611,0,0,0,0,0,0,0,1,27,44,1,0,9,8,3
TRUE,156c0097c2145d8ba522f106d5f13ac72fa74020ef1dc7ab65b642f423607194,0,12,12,2,0,0,0,8,FALSE,0,0,0,1,0,0,0,8,10,0,31,8,2,16,0,0,0,1,2,0,1,2,0,1,0,53,0,0,4,0,2,8,0,2,2,0,1,1197338585,-28800,3464.52136863,2,14,26,2,3,6,3,28800,0,1,4226,0,13,14,1,0,0,1,800.555555556,5918,39,375.5,630,121,0,1,1197309785,-28800,3464.4380353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.131928660226,0.144639238834,0.0147475993305,0.579957712977,0.999929521628,0.159985904326,0.141344374945,0.146912166329,0.135776583561,0.107021407805,0.142665844419,0.000458109417672,2,20,35,1,3,9,3,0.0744603999648,1070.8490364,14188.7464528,7094.3741132,56755,0,0,0,0,0,0,0,1,31,55,2,8,12,4,4
TRUE,16c9d44a33817b2e5ec685e3859ddeab4049bac9386f94ad61773a4241ee80a4,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,147,0,42,16,1,47,0,0,0,0,0,0,0,1,0,1,0,541,0,0,39,0,1,20,4,1,1,0,0,-1,-1,-1.0,1,26,45,1,3,7,9,0,0,0,0,0,0,0,0,0,0,0,15186.8,75750,33,38010.0,75716,304,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.642691705269,0.651814576599,0.633568833939,0.711700603193,0.711700603193,0.711700603193,-1.0,-1.0,-1.0,0.641027136403,0.658962908655,0.000466557803179,3,46,82,1,12,17,7,0.0,221.863215856,3077.64094673,6001.39969993,120028,0,0,0,0,0,0,0,1,9,14,1,1,3,1,2
TRUE,1735b684498e858986f775cdbe6753168a27e25b2eaa4e34f3d4f59e613c42b1,1,10,12,1,0,2,0,4,FALSE,0,0,0,0,0,0,0,4,7,0,24,11,2,11,0,0,0,0,3,0,3,2,0,1,0,48,0,0,2,0,2,11,0,2,2,0,1,1242430878,-21600,3594.99675347,3,14,29,1,4,8,3,21585,0,0,3,0,0,0,0,0,0,0,519.142857143,3421,25,1748.0,3335,161,0,1,1242409293,-21600,3594.93429688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0616107958737,0.0670650730412,0.0580197727608,0.540098863804,0.999926221042,0.0802715065663,0.0599085140918,0.0602626530913,0.0595543750922,0.0344178840195,0.0662977718755,0.00253799616349,2,20,35,1,3,9,3,4.42673749447e-05,1411.87497059,33884.9830575,6160.90853083,67770,0,0,0,0,0,0,0,1,44,59,1,0,9,6,4
TRUE,18c2688fa5341f38c8dc32e0ba574ed4462b536de8315ebfe89091905f6b7523,0,7,7,1,0,0,0,4,FALSE,0,0,0,1,0,0,0,4,5,0,21,9,2,8,0,0,0,1,1,0,0,1,0,1,0,39,0,0,2,0,2,9,0,2,2,0,0,-1,-1,-1.0,3,14,29,1,4,8,3,-1143658445,28799,0,4225,0,0,0,0,0,0,0,1178.75,8817,29,3040.0,8766,113,0,1,1143658444,-28800,3309.19688657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.258401101977,0.336780694776,0.00808804030761,0.679577698223,0.999834261469,0.359321134977,0.339664545213,0.339664545213,0.339664545213,0.171075311588,0.335554229647,0.00659639352957,1,20,32,1,2,7,3,0.140049058605,773.538441704,15083.992458,3351.99962756,30168,0,0,0,0,0,0,0,3,39,61,1,8,14,0,4
