class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,02a0cd138f32e2d9f49453e06d1961c928abf7c8d8fe41b65612e519bbefa310,0,4,12,1,2,4,2,58,FALSE,0,0,0,1,0,0,1,57,116,0,420,82,2,76,0,1,0,5,10,0,4,1,0,1,1,845,21,0,30,0,2,82,0,1,1,0,1,156530586,-10560,0.0,0,14,37,1,0,15,8,-351470075,-4920,2,809673,0,4,6,1,0,1,1,3220.375,13724,29,4302.33333333,11403,208,0,1,508000661,-5640,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0894081850742,0.134561712959,0.00136197195677,0.595552938287,0.999972090739,0.191133785835,0.102525229972,0.127266232026,0.0700634098419,0.114476347831,0.11893252657,0.00111078860409,1,6,16,1,5,5,0,4.51947508261,212.014200933,5971.73313428,2184.78046116,179152,0,5,8,1,0,2,1,1,6,26,1,11,7,2,0
TRUE,03085bef2753e9cb134e47d1ce0fe326d0a966aaacd25805b9159bf049ed13a9,0,3,11,1,2,4,2,64,FALSE,0,0,0,1,0,0,1,63,123,0,459,86,2,83,0,1,0,6,11,0,4,2,0,1,0,920,27,0,29,0,2,87,1,1,0,0,1,492106473,-4800,0.0,0,16,40,1,0,13,11,-100920943,-5040,2,813898,0,4,6,1,0,1,1,330.222222222,2526,24,1330.66666667,2469,155,0,1,593027416,240,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.273248595129,0.585697443077,0.125856605998,0.990126003979,0.990236533785,0.990015474173,0.372750048566,0.534890575492,0.124788151205,0.453398346881,0.472846510942,0.00633704222239,0,4,10,1,3,3,0,29.9866627367,29.502173881,935.931002209,311.977007908,27142,0,4,6,1,0,1,1,1,5,27,1,12,8,2,0
TRUE,041ae7b7f5e4e09d7cfebab36eef4673d5754605b0b482ac6b7da0fce57595a2,0,4,12,1,2,4,2,57,FALSE,0,0,0,1,0,0,1,56,113,0,411,80,2,73,0,1,0,5,10,0,4,1,0,1,0,817,21,0,30,0,2,81,1,1,1,0,1,196175911,-10200,756.851508488,0,14,36,1,0,14,8,-267529973,-4140,2,809673,0,4,6,1,0,1,1,1761.55555556,9097,48,4126.25,9044,404,0,1,463705884,-6060,1788.98875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0851516900155,0.11938229024,0.000883928107181,0.580890254259,0.999978335095,0.161802173423,0.0953996741598,0.113892403418,0.0711388807044,0.103609806402,0.107579250221,0.000810267431582,1,7,17,1,5,5,0,3.50829765846,282.482251796,7692.9330769,2849.23453273,230788,0,5,8,1,0,2,1,1,6,24,1,10,6,2,3
TRUE,045e5ebd1c71ef91c1a2c3336c8c08a25983b469d6a7fbb5496cf9b10521d10c,0,4,12,1,2,4,2,58,FALSE,0,0,0,1,0,0,1,57,116,0,421,82,2,76,0,1,0,5,10,0,4,1,0,1,0,846,21,0,30,0,2,82,0,1,1,0,1,137736923,-10860,531.392449846,0,14,37,1,0,15,8,-362141928,-5100,2,809673,0,4,6,1,0,1,1,1145.75,8553,29,3346.33333333,8502,241,0,1,499878851,-5760,1928.54494985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0735501377951,0.118492692179,0.0013611514002,0.587529287069,0.999972107553,0.175086466585,0.0864782996764,0.111201606605,0.0540611402432,0.098952359701,0.102872922013,0.00111011937967,1,6,15,1,4,5,0,4.5167522035,211.891252705,5975.33313416,2186.09753432,179260,0,5,8,1,0,2,1,1,6,26,1,11,7,2,3
TRUE,068cac848c22ba2b8ddea7d2021e0b4ab5cb813f35ad8919f552b5642f61c6fe,0,18,36,2,6,3,9,27,FALSE,0,0,0,1,0,0,1,26,68,0,200,45,2,39,0,1,1,3,9,0,4,2,0,1,0,390,9,0,19,0,2,46,1,1,1,0,1,339792554,-6300,1966.39209491,1,10,25,1,1,9,5,-160725198,-1500,3,866248,0,3,5,1,0,1,1,331.0,2278,37,939.25,2226,319,0,1,500517752,-4800,2896.51476852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0195700767889,0.0316449242765,0.00869395711501,0.522878992353,0.999988004199,0.0457699805068,0.0210436347278,0.0295246663668,0.0146348777928,0.0244393935807,0.0273924126556,7.79727095517e-05,1,9,27,2,5,5,8,2.59783475783,854.999997808,17549.9990763,7248.91288589,333450,0,7,10,2,1,2,0,0,0,18,2,8,7,3,2
TRUE,0adaee66fa0ac4ab68084782bd5cd09d6a5eb095a779d2a0af20864ff3a00ba3,0,5,13,1,2,4,2,55,FALSE,0,0,0,1,0,0,1,54,112,0,399,79,2,72,0,1,0,5,10,0,4,1,0,1,0,802,20,0,29,0,2,80,1,1,1,0,1,152758462,-10260,589.34591821,0,13,34,1,0,13,8,-311567212,-4080,2,809673,0,4,6,1,0,1,1,780.3,5990,29,2121.5,5939,282,0,1,464325674,-6180,1791.37991512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.05426159722,0.0901568188183,0.00115747223,0.567488098572,0.999976663866,0.134999533277,0.0647138990012,0.0843181181742,0.0389526743209,0.0746178506938,0.0776906562121,0.000928778120041,1,7,17,1,5,5,0,3.7789274713,267.157106899,7388.2756073,2678.24996652,214260,0,5,8,1,0,2,1,1,7,26,1,10,7,2,3
TRUE,0d24c378e25bf883a392ef00ec00d706c42dd1bb8e0b34a68e32251fbde0e50c,0,3,12,1,2,5,2,64,FALSE,0,0,0,1,0,0,1,63,137,0,496,98,2,91,0,2,0,6,12,0,4,1,0,1,0,991,29,0,29,0,2,99,1,1,1,0,1,507593174,-4620,2937.46049769,0,17,37,1,0,10,10,-5617455,-6060,2,1602442,0,4,6,1,0,1,1,2708.6,13348,34,7426.5,13277,1576,0,1,513210629,1440,2969.96891782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.454605429364,0.691327300151,0.351382604324,0.993313222725,0.993388637506,0.993237807944,0.517923579688,0.651432880845,0.349949723479,0.596080165046,0.607692307692,0.337456008044,0,4,10,1,3,3,0,40.2826043238,40.1412714025,1371.72409063,401.818177759,39780,0,4,6,1,0,1,1,1,6,27,1,12,8,1,2
TRUE,0df73d2bf60185c86c885b388f3173a746b5e263350cfc8d5209b2a853332318,0,4,12,1,2,4,2,57,FALSE,0,0,0,1,0,0,1,56,113,0,411,80,2,73,0,1,0,5,10,0,4,1,0,1,0,817,21,0,30,0,2,81,1,1,1,0,1,196015899,-10200,756.234178241,0,14,36,1,0,14,8,-267391107,-4140,2,809673,0,4,6,1,0,1,1,1785.88888889,9211,48,4181.0,9158,291,0,1,463407006,-6060,1787.8356713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0861374086063,0.120406340507,0.000884479977801,0.581415514819,0.999978321569,0.16285270807,0.096408751149,0.114913026136,0.0721328107386,0.104592358787,0.108595931392,0.000810773312985,1,7,17,1,5,5,0,3.51048802483,282.305997206,7688.13307706,2847.45675497,230644,0,5,8,1,0,2,1,1,6,24,1,10,6,2,3
TRUE,0ea9c097c878e5572396dd5590daf5ccc30268f93722c24ba364f81ef670e7ca,0,3,12,1,2,5,2,52,FALSE,0,1,0,1,0,0,1,51,131,0,422,86,2,81,0,1,2,5,12,0,4,3,0,2,0,834,21,0,30,0,2,86,0,1,1,0,1,230466975,-6300,889.147280093,0,16,40,2,0,15,9,-312135194,-1860,3,939723,0,4,6,1,0,1,1,1234.14285714,16264,9,5873.66666667,16227,42,0,1,542602169,-4440,2093.37256559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.000957088962813,0.000957088962813,0.000957088962813,0.0985790206952,0.13795554647,0.0030942779089,0.592319593377,0.999976769685,0.184662417068,0.106841250225,0.131622962701,0.0838010370012,0.120389247152,0.12487223327,0.00358676057909,1,9,21,2,6,6,0,4.36601219127,258.0767383,7174.53309418,2502.74415694,215236,0,4,7,1,0,2,1,1,6,26,1,11,7,2,3
TRUE,0f0a509373ccc5b2c69dde6411822cbb0d569ed36304c8a3eca4b7b3defabf1b,0,4,12,1,2,4,2,53,FALSE,0,0,0,1,0,0,1,52,99,0,365,68,2,64,0,1,2,6,13,0,4,2,0,1,0,724,20,0,29,0,2,68,0,1,0,0,1,264721025,-8220,765.975188079,0,14,41,2,0,17,10,-243543565,-3420,3,943948,0,4,6,1,0,1,1,8559.44444444,76285,29,25773.0,76224,31,0,1,508264590,-4800,1470.67300347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.315680861961,0.341795767349,0.30304405133,0.687723669132,0.999988266537,0.375459071727,0.32064935991,0.337591276562,0.302711603221,0.331857524474,0.332240817588,0.33147423136,1,8,19,2,5,6,0,3.69192620434,353.147789567,8816.51693736,3759.98523882,255679,0,5,8,1,0,2,1,1,3,22,1,10,6,3,4
