class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,01bdbd74fb1ad27ce1b26395a7773f8090387ccce9638a4a2d14524f48c38b18,0,10,13,1,0,1,2,0,TRUE,0,1,0,1,0,0,0,0,482,0,1144,262,1,60,0,1,36,2,39,0,0,3,0,2,0,2274,0,0,40,0,1,262,0,1,1,0,1,1331616182,3600,3853.05608218,0,11,41,2,18,9,3,-3600,0,2,3137894,0,0,0,0,0,0,0,164.642857143,1349,7,1833.33333333,4160,44,0,1,1331619782,3600,3853.06649884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,6.53704131478e-05,6.53704131478e-05,6.53704131478e-05,0.00251932439669,0.00374575854405,0.000202207961913,0.999998645173,0.999998645173,0.999998645173,0.00159222594585,0.0101178496453,0.000960911202592,0.00967747999428,0.00996475416999,0.000230659333439,3,12,28,1,5,6,5,1.06282604764,1298.33157375,73810.1481547,11268.7251478,2952406,0,0,0,0,0,0,0,0,25,30,1,0,2,3,4
TRUE,01c684b45683ab67df6683bdb77cbb9c452161fb6f7602ff8622e2642b0c25df,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,2,0,65,24,1,62,0,0,0,0,0,0,0,1,0,1,0,190,0,0,60,0,1,32,8,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870.444444444,5927,48,1919.75,5871,298,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0150103940446,0.0394625291788,0.00118457268282,0.999970966356,0.999970966356,0.999970966356,-1.0,-1.0,-1.0,0.053126342806,0.0551871508704,0.00108585829259,3,46,81,1,11,17,7,0.0,906.389468914,2870.2332855,5381.68733182,172214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TRUE,065447d689d8f4b1ade5478c5ae635e549ac98b25f7a72bf56c2bc457096b3d2,0,1,8,1,0,6,1,6,FALSE,0,0,0,1,0,0,0,6,3,0,15,4,2,6,0,0,0,0,0,0,0,1,0,1,0,27,0,0,3,0,2,4,0,2,2,0,0,-1,-1,-1.0,0,3,24,1,1,18,2,0,0,0,0,0,0,0,0,0,0,0,1119.875,8419,29,2859.0,8368,41,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.460971835345,0.594243268338,0.0151036830703,0.807768492727,0.999690498298,0.615846487156,-1.0,-1.0,-1.0,0.397358918807,0.590095945528,0.0123181677499,0,3,33,1,2,26,2,0.0,598.333311173,5384.998205,4038.74899031,16155,0,0,0,0,0,0,0,0,1,23,1,2,17,3,5
TRUE,0a163cbc63d49de566f86f09638ad05e1a19b4277b4f2c3e686693ec140b6fa7,0,0,0,0,0,0,0,2,FALSE,0,0,0,1,0,0,0,2,1,0,12,10,2,1,0,0,0,0,0,0,0,1,0,1,0,21,4,0,1,0,2,10,0,1,1,0,1,1295918865,-18000,2999.8121875,1,16,30,1,2,6,6,1295918866,-17999,0,0,0,0,0,0,0,0,0,1151.0,8668,29,2971.0,8617,128,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.226272080148,0.641510677564,0.0160822567888,0.835980754021,0.999670445558,0.672291062484,-1.0,-1.0,-1.0,0.0131162668073,0.0131162668073,0.0131162668073,1,10,22,1,2,5,5,0.0,722.476156073,15171.984828,1517.19984828,15172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
TRUE,0c6b54d40291b55bd3c48f0ab0201a256a2315da034dbdf42397b6e09117c441,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,6,0,15,3,1,6,0,0,0,0,0,0,0,1,0,1,0,20,0,0,2,0,1,3,0,1,1,0,0,-1,-1,-1.0,1,4,16,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,876.444444444,6013,48,2425.66666667,5957,298,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.532347096489,0.755432312028,0.0185471406491,0.999545413219,0.999545413219,0.999545413219,-1.0,-1.0,-1.0,0.390899172652,0.764796799709,0.0170015455951,1,4,24,1,7,7,6,0.0,549.949972503,5499.49725025,3666.33211122,10999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,0cab1e7f90be70180ade440745d0623d770f3d12467931b07eada7899250a2be,1,9,12,1,1,2,0,1,FALSE,0,0,0,1,0,0,0,1,2,0,11,3,1,4,0,0,0,0,0,0,0,1,0,1,0,13,0,0,3,0,1,3,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852.11111111,9643,48,5355.0,9590,291,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.138868026268,0.38586862326,0.0117857761858,0.999711132937,0.999711132937,0.999711132937,-1.0,-1.0,-1.0,0.661467059526,0.987000982148,0.0108036281703,1,0,10,1,3,3,4,0.0,1331.46143604,5769.66474345,5769.66474345,17309,0,0,0,0,0,0,0,0,52,72,1,3,11,6,3
TRUE,0f2e5ee7503d30a09eeffe8c78c626e1dcf10de8b2c723a74cbc7afc2a8c213a,0,0,0,0,0,0,0,20,FALSE,0,0,0,1,0,0,0,20,0,0,24,16,2,10,0,0,0,0,0,0,0,1,0,1,0,42,8,0,10,0,2,16,0,1,1,0,1,1304358305,-14400,3019.34792824,1,16,30,1,2,6,6,1304358306,-14399,0,0,0,0,0,0,0,0,0,15186.8,75750,33,37974.0,75716,232,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.983120549176,0.984948995958,0.981292102393,0.99817796882,0.998216462437,0.998139475204,-1.0,-1.0,-1.0,0.882830563931,0.981202283955,0.000718547507538,1,10,22,1,2,5,5,0.0,1855.59519391,7793.49922065,4870.93719557,77935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
TRUE,1369bc52b3c47142fba3ad59ca66a85813b092a033ad624d7eaf232cda03a83a,0,15,21,1,0,4,2,1,FALSE,0,0,0,1,0,0,0,1,39,0,82,23,1,34,0,4,0,0,4,0,0,1,0,1,0,155,0,0,10,0,1,23,0,1,1,0,0,-1,-1,-1.0,0,1,10,1,0,3,6,0,0,0,3154176,0,59,71,1,0,11,1,858.777777778,5815,48,1861.0,5762,298,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0155429213127,0.0169257620652,0.000394296615427,0.999990335867,0.999990335867,0.999990335867,0.0157448050455,0.0158259837604,0.0156636263305,0.0173759173678,0.0193205341559,0.000361438564142,2,7,31,1,4,10,10,6.09647510423,3337.9161075,51737.6948262,22494.6511959,517377,0,31,36,1,0,3,2,0,47,70,1,9,13,1,6
TRUE,13e406eef9078f784d782530a3e3635bf5bca1469e65dcb546395b4cca16d8e2,0,5,5,1,0,0,0,7,FALSE,0,0,0,1,0,0,0,7,3,0,18,3,1,6,0,0,0,0,0,0,0,1,0,1,0,20,0,0,7,0,1,4,1,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,-1338162894,-28801,0,0,0,0,0,0,0,0,0,258.058823529,1708,8,1176.33333333,1652,274,0,1,1338162893,28800,3871.99911169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.270125449158,0.321755027422,0.234886213201,0.999810880666,0.999810880666,0.999810880666,-1.0,-1.0,-1.0,0.247395106312,0.260984681334,0.233877576751,1,10,21,1,3,4,4,0.0,793.149960343,2266.14253341,3965.74900856,15863,0,0,0,0,0,0,0,0,85,103,1,6,12,0,4
TRUE,154a1efa4528ed408b5f0b8fa725804af6c583453b6c98cbf6ab753e0020bd2f,0,15,18,1,0,1,2,36,FALSE,0,0,0,1,0,0,0,36,8,0,63,27,2,44,0,0,1,0,1,0,0,1,0,1,0,117,5,0,36,0,2,27,0,2,2,0,0,-1,-1,-1.0,0,21,66,1,4,38,3,-1281352085,-1,0,65025,0,0,0,0,0,0,0,842.111111111,5697,48,1841.75,5644,298,0,1,1281352084,0,2966.09278704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0223705898058,0.0247150170952,0.000517804609984,0.515322193766,0.999987308711,0.0306570788205,0.0203035248787,0.0203035248787,0.0203035248787,0.0224721842189,0.023402737765,0.000474654225819,0,21,66,1,4,38,3,0.165050219432,3367.27347549,10943.6385849,14591.5179781,393971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
