class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,00393da383e096c9ff46754a11fa53b99e686970e3ab12bb246e3445081b902c,0,4,5,1,0,0,1,16,FALSE,0,0,0,2,0,0,0,16,5,0,68,26,3,14,0,0,0,3,3,0,0,1,0,1,0,68,0,0,8,0,3,26,0,3,3,0,1,1274369648,-25200,3687.41217593,3,14,26,1,4,5,3,25200,0,2,86835,0,0,0,0,0,0,0,2615.04411765,44147,12,6518.96153846,43997,218,0,1,1274344448,-25200,3687.33925926,0,0,32,1,19,0,13,0,0,32,1,18,0,14,TRUE,-1.0,-1.0,-1.0,0.516047920656,0.997761289143,0.00659422257441,0.583836212072,0.999972293182,0.00430563944564,0.348331957228,0.677331944298,0.0359856146203,0.530062589701,0.997955236866,0.00740326164656,2,20,33,2,3,7,3,0.481184300209,2653.83819627,22557.6221803,6940.80742535,180461,0,0,0,0,0,0,0,0,22,33,1,1,4,6,4
TRUE,0093c7e40b86f905e1a73f7557f076f44ba9dca2a6da7962efba3001a3cc5496,0,10,13,1,0,1,2,0,TRUE,0,2,0,2,0,0,0,0,11,0,83,32,3,12,0,0,5,2,7,0,0,1,0,1,0,83,0,0,2,0,3,32,0,3,3,0,1,1131996766,0,3275.45360532,2,14,24,1,3,4,3,1131996767,1,5,693019,0,0,0,0,0,0,0,2547.06024096,44408,9,6196.40625,44258,57,0,0,-1,-1,-1.0,0,15,32,1,17,0,0,0,12,32,1,20,0,0,TRUE,0.502732724198,0.997246308609,0.00821913978595,0.207625196382,0.998173524492,0.0111126124657,0.597600731833,0.999976703119,0.00780911467191,0.402737849511,0.680800108098,0.23725078161,0.504007063614,0.997474618048,0.0105395091813,2,20,33,2,3,7,3,3.2290363012,2585.79514957,107310.446345,6706.90604041,214621,0,0,0,0,0,0,0,0,0,8,1,8,0,0,4
TRUE,00c41d3e7994cf42f1ceb0b686c883f49aa8e0a1e8358af41388578759cd9bcd,0,3,4,1,0,0,1,18,FALSE,0,0,0,3,0,0,0,18,46,0,840,24,3,15,0,0,0,0,0,0,0,1,0,1,0,840,0,0,9,0,3,24,0,3,3,0,0,-1,-1,-1.0,1,16,29,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,323.222619048,44224,9,8455.08333333,44074,225,0,0,-1,-1,-1.0,0,13,32,1,19,0,0,0,15,32,1,17,0,0,TRUE,-1.0,-1.0,-1.0,0.372818294317,0.998608613251,0.00768432537763,0.616343177589,0.999983316706,0.00354353171995,-1.0,-1.0,-1.0,0.439590347268,0.997537545754,0.00670001101097,1,20,31,1,2,6,3,0.0,356.786904337,33300.1074111,12487.5411464,299701,0,0,0,0,0,0,0,0,23,31,3,0,4,4,3
TRUE,00edc39f7ad64e787fee60ea54cea555fb8ba202d2ece19f871818e4e8a23d0a,0,0,0,0,0,0,0,24,FALSE,0,0,0,3,0,0,0,24,2,0,87,28,3,16,0,10,5,0,15,0,0,1,0,1,0,87,0,0,12,0,3,28,0,3,3,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,12,31251070,0,0,0,0,0,0,0,10373.5057471,281481,9,31749.1785714,281277,183,0,0,-1,-1,-1.0,0,19,32,1,13,0,0,0,19,32,1,13,0,0,FALSE,-1.0,-1.0,-1.0,0.578363783394,0.999567261572,0.00154218261341,0.650132820524,0.999994480377,0.000745149079493,0.58493238646,0.928370750856,0.00247168709479,0.586822010931,0.999460180889,0.00146380396949,0,2,35,1,0,33,0,34.4988237684,10412.1722941,75488.2437093,32352.1059874,905859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,019570657812f43a9c22df4ae080d1c013d261189a3c3da43dba12116090740a,0,4,5,1,0,0,1,18,FALSE,0,0,0,2,0,0,0,18,5,0,56,14,3,14,0,0,0,0,0,0,0,1,0,1,0,56,0,0,9,0,3,14,0,3,3,0,1,1222725350,-25200,3537.97844329,2,14,24,1,3,4,3,25200,0,0,0,0,0,0,0,0,0,0,1419.55357143,44235,13,5143.07142857,44085,212,0,1,1222700150,-25200,3537.90552662,0,0,32,1,19,0,13,0,0,32,1,21,0,11,TRUE,-1.0,-1.0,-1.0,0.256497859619,0.995070396692,0.0115839561596,0.48268114967,0.999938838669,0.00655649472178,-1.0,-1.0,-1.0,0.267670527985,0.995498526012,0.0127582537217,2,20,33,2,3,7,3,0.0,1459.83925965,9083.44343517,5839.35672576,81751,0,0,0,0,0,0,0,1,14,28,1,5,6,3,4
TRUE,019af3f9ac3ec093bbb0df7580f7092ac063056da3ee6f69e780495eb50a98dd,0,7,48,1,30,10,1,0,TRUE,0,0,0,2,0,0,0,0,3,0,27,5,2,7,0,0,0,0,0,0,0,1,0,1,0,28,0,0,3,0,2,5,0,2,2,0,1,1271778576,7200,3679.91486111,0,0,0,2,0,0,0,-7200,0,0,0,0,0,2,2,0,2,0,2364.46428571,44196,9,12675.2,44046,1820,0,1,1271785776,7200,3679.93569444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.405533624212,0.993855925915,0.110133270013,0.662142708735,0.999925796207,0.324359621264,-1.0,-1.0,-1.0,0.405311012832,0.993633314535,0.109910658633,1,10,20,1,3,3,4,0.0,2406.49991405,22460.6591798,13476.3973047,67382,0,0,0,1,0,0,0,0,26,148,1,90,32,0,4
TRUE,02830fb0717795a4aba9ffbe88ae8975a2003554465c62586dca0adfa112ef4b,0,3,4,1,1,0,0,20,FALSE,0,0,0,2,0,0,0,20,9,0,75,23,3,19,0,0,0,0,0,0,0,1,0,1,0,75,0,0,10,0,3,23,0,3,3,0,0,-1,-1,-1.0,2,14,24,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,2808.22666667,44193,9,8691.65217391,44043,224,0,0,-1,-1,-1.0,0,11,32,1,21,0,0,0,11,32,1,21,0,0,TRUE,-1.0,-1.0,-1.0,0.465413913545,0.998164639342,0.0065548594919,0.596565565762,0.999976589788,0.00354898821062,-1.0,-1.0,-1.0,0.468394808551,0.99771048122,0.00622243447482,2,20,33,1,3,7,3,0.0,2847.75996203,21358.1978642,9286.1735093,213582,0,0,0,0,0,0,0,2,16,29,1,3,7,3,3
TRUE,0284a0cb943b22f86022712e5242c55337104bb19b7046b29200c2e50ee97d75,0,0,0,0,0,0,0,10,FALSE,0,0,0,2,0,0,0,10,1,0,37,7,3,10,0,0,0,0,0,0,0,1,0,1,0,37,0,0,5,0,3,7,0,3,3,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548.64864865,44206,9,7583.14285714,44056,126,0,0,-1,-1,-1.0,0,11,32,1,21,0,0,0,11,32,1,21,0,0,FALSE,-1.0,-1.0,-1.0,0.264761893032,0.993378604935,0.016172461093,0.412242524823,0.999915327429,0.00977121471271,-1.0,-1.0,-1.0,0.269495859511,0.991735957054,0.0149701105824,1,23,33,1,2,5,3,0.0,1595.97292984,11810.197638,8435.85593773,59051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TRUE,02dd0e720e4799825cb25a21e0a9be9b2e2bbefaa1ea015aadb2e4aa06aaf4cb,0,0,0,0,0,0,0,1,FALSE,0,0,0,2,0,0,0,1,9,0,58,9,2,16,0,0,0,0,0,0,0,1,0,1,0,58,0,0,8,0,2,9,0,2,2,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425.96551724,44416,10,7401.44444444,44266,468,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.374661704608,0.439460140618,0.301409711345,0.730423620026,0.999941114814,0.460906125237,-1.0,-1.0,-1.0,0.333119383825,0.995041867367,0.175418968096,1,20,33,1,2,5,6,0.0,1463.98273338,10613.8736733,9434.55450727,84911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TRUE,048a60fcf7825c0f4b33698c5bf45d58875bf67cd3c34b9107f18c8c3bb6cc1a,0,0,0,0,0,0,0,0,TRUE,0,0,0,2,0,0,0,0,5,0,31,12,2,3,0,0,0,0,0,0,0,1,0,1,0,31,0,0,2,0,2,12,0,2,2,0,1,1112563706,32400,3219.22368634,0,0,0,0,0,0,0,1112563707,32401,0,0,0,0,0,0,0,0,0,2354.80645161,44194,19,5801.5,44044,776,0,0,-1,-1,-1.0,0,13,32,1,19,0,0,0,12,32,1,20,0,0,TRUE,-1.0,-1.0,-1.0,0.469675269713,0.994666200911,0.00728191210651,0.692272037189,0.999932823689,0.384611250689,-1.0,-1.0,-1.0,0.500208246564,0.993725732558,0.00669076057019,2,25,37,1,3,6,3,0.0,2400.99992255,37215.4813923,6202.58281645,74431,0,0,0,0,0,0,0,0,8,8,1,0,0,0,4
