class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,0042bd0358339d03b391e8bc2e2377932fbf8b716466276990f35eb3de06ab89,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,13,0,39,14,1,7,0,0,0,0,0,0,0,1,0,1,0,39,0,0,4,0,1,14,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4604.58974359,48895,47,11595.5,48825,235,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.446614890578,0.994086012591,0.00171892531242,0.999977891636,0.999977891636,0.999977891636,-1.0,-1.0,-1.0,0.0034323235338,0.00492463811371,0.00194000895389,0,29,67,1,21,11,6,0.0,4639.1537272,45231.7386921,12923.3562198,180927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,0065e2c38afd8c2382628cb3c0b2e21b66cea278f4d848bba89ee2e8e9464e72,0,0,0,0,0,0,0,5,FALSE,0,0,0,1,0,0,5,0,7,0,46,12,1,12,0,0,0,0,0,0,0,1,0,1,0,46,0,0,5,0,1,12,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394.65217391,11555,21,3703.25,5966,731,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.253017623938,0.591160136934,0.00500570559148,0.999939140358,0.999939140358,0.999939140358,-1.0,-1.0,-1.0,0.0106047926968,0.0158691517687,0.00534043362495,0,29,67,1,21,11,6,0.0,1428.80431677,13144.997371,5477.08287691,65725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,00a61d19371e0438b05805a990cad002a4b926eeab365f7b69408aef9b04ac24,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,3,0,28,8,1,4,0,0,0,0,0,0,0,1,0,1,0,28,0,0,1,0,1,8,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13606.25,151585,21,45570.25,151449,2922,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.701881818253,0.946189632197,0.000924153927916,0.999989528001,0.999989528001,0.999989528001,-1.0,-1.0,-1.0,0.000979131923628,0.000979131923628,0.000979131923628,0,29,67,1,21,11,6,0.0,13641.8209414,381970.618029,47746.3690317,381971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,00c5a9bdc8b2fc99d5361677f39c6243bb1e360d2625988d7c47f400e5ff7299,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,18,0,43,17,1,10,0,0,0,0,0,0,0,1,0,1,0,43,0,0,2,0,1,17,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021.09302326,11555,52,1399.05882353,6062,343,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.263555300927,0.806487153497,0.00612577673968,0.999911859327,0.999911859327,0.999911859327,-1.0,-1.0,-1.0,0.0118328852849,0.0142347186109,0.00943105195893,0,29,67,1,21,11,6,0.0,1055.39532429,22690.9886545,2669.52925473,45382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,00dec8cda791328fe976802294171848ceb142d362218e99a665ff484b114e24,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,5,0,19,5,1,4,0,0,0,0,0,0,0,1,0,1,0,19,0,0,3,0,1,5,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.26315789,17355,22,4917.4,17186,766,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.362084108287,0.893883033685,0.00648377764001,0.999896672866,0.999896672866,0.999896672866,-1.0,-1.0,-1.0,0.00943721154509,0.0118309568093,0.00741372184336,0,29,67,1,21,11,6,0.0,2037.47357698,12903.9956987,7742.39845152,38712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,01e674e2e440491afdaa5948c17b279bd33c59165124a0a1e2fdc80520e7389f,0,0,0,0,0,0,0,6,FALSE,0,0,0,1,0,0,0,6,101,0,251,127,1,67,0,0,0,0,0,0,0,1,0,1,0,251,0,0,44,0,1,127,0,1,1,0,0,-1,-1,-1.0,0,16,32,1,5,5,6,0,0,0,0,0,0,0,0,0,0,0,3118.45418327,43978,13,5739.82677165,43908,15,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0853108872357,0.989661436704,0.000954465063418,0.999994943231,0.999994943231,0.999994943231,-1.0,-1.0,-1.0,0.00969215887126,0.0181929890432,0.0010290523995,0,29,67,1,21,11,6,0.0,3151.47010697,17977.7041369,6228.49601395,791019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,03b6ac7ebcac93703017f4184637a3a97e4c634216a4ac8a846673ee3a9917a3,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,17,0,72,36,1,11,0,0,0,0,0,0,0,1,0,1,0,72,0,0,1,0,1,36,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3794.48611111,53304,15,7001.08333333,53234,62,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.389010011912,0.988574310522,0.000983284169125,0.999985486581,0.999985486581,0.999985486581,-1.0,-1.0,-1.0,0.00243099776131,0.00243099776131,0.00243099776131,0,29,67,1,21,11,6,0.0,3827.87494684,275606.724393,7655.74978734,275607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,0457220b94d2ef13c68ea6a51844be00a8eb2057e6339f9f097d3d2529493d50,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,235,0,319,60,1,27,0,0,0,0,0,0,0,1,0,2,0,319,0,0,16,0,1,60,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164.15360502,332155,25,15964.8666667,332006,99,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.408963570977,0.970080312032,0.0003951379404,0.999996078035,0.999996078035,0.999996078035,-1.0,-1.0,-1.0,0.00244062635737,0.00453183017501,0.000454947901602,0,29,67,1,21,11,6,0.0,3197.16926897,63743.558516,16998.28305,1019897,0,0,0,0,0,0,0,0,7,7,1,0,0,0,3
TRUE,049f570d35baea7953b23b6d74284f7903fb3dbd9f2b7efe12b75272e8911412,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,5,0,24,5,1,4,0,0,0,0,0,0,0,1,0,1,0,24,0,0,1,0,1,5,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243.75,12888,48,7570.8,12816,722,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.339854158671,0.786464901219,0.0045324122302,0.999926896577,0.999926896577,0.999926896577,-1.0,-1.0,-1.0,0.00539137745125,0.00539137745125,0.00539137745125,0,29,67,1,21,11,6,0.0,2279.87490501,54716.9452831,10943.3978113,54717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,04d4482fb8e7ce6bbacf487d03a385c0ea0c4ac36e32582f8363b04d4583c5f4,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,86,0,147,48,1,45,0,0,0,0,0,0,0,1,0,1,0,147,0,0,40,0,1,48,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317.31972789,76734,15,6494.08333333,76570,90,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.0450632425053,0.662657995201,0.00149927207157,0.999988422609,0.999988422609,0.999988422609,-1.0,-1.0,-1.0,0.0110311547579,0.0194615934541,0.00163530641011,0,29,67,1,21,11,6,0.0,2350.34692279,8637.52478406,7197.93735004,345501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
