class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,0145e830103ab0ef2a8dc79f8fd848a07f280e6877599dce179defd116cf2d40,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,6,0,38,7,1,12,0,0,0,0,0,0,0,0,0,0,0,38,0,0,6,0,1,7,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.921052632,3157,8,1769.42857143,2998,157,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.655406361257,0.786763492325,0.494347252022,0.999834956263,0.999834956263,0.999834956263,-1.0,-1.0,-1.0,0.235262969687,0.444792870111,0.0548770424162,1,20,36,1,2,6,8,0.0,637.7894569,4039.33266011,3462.28521967,24236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TRUE,019dd76c8fab83d510d53e06af91cd08f4273a8a742e2df5c3e3b518fb02cc7f,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,4,0,27,5,1,5,0,0,0,0,0,0,0,0,0,1,0,27,0,0,1,0,1,5,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054.96296296,8469,6,4183.4,8309,54,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.650608930988,0.819079837618,0.409066305819,0.999864682003,0.999864682003,0.999864682003,-1.0,-1.0,-1.0,0.366711772666,0.366711772666,0.366711772666,1,20,36,1,2,6,8,0.0,1094.81477427,29559.97044,5911.9988176,29560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TRUE,02a5c126d30466b583df7cb6da47f2fedf6576765abeb7aa154a91c18e7b012b,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,42,0,178,43,1,43,0,0,0,0,0,0,0,0,0,0,0,178,0,0,12,0,1,43,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842.786516854,7573,8,2791.95348837,7499,261,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.564982964976,0.855227160605,0.397740887627,0.999974371953,0.999974371953,0.999974371953,-1.0,-1.0,-1.0,0.403397211241,0.408985193396,0.397875434876,1,10,20,1,3,3,4,0.0,876.848309681,13006.5822495,3629.74410163,156079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TRUE,05078b61b50085822b3b459d47b77ce9f568d87ffc395136f83200e8dec646a9,2,21,31,1,0,5,5,3,FALSE,0,0,0,2,0,0,0,3,8,0,76,24,1,21,0,0,0,0,0,0,0,0,0,0,0,76,0,0,13,0,1,24,0,1,1,0,0,-1,-1,-1.0,1,10,36,1,9,9,8,0,0,0,0,0,0,0,0,0,0,0,1907.63157895,9984,38,5461.0,9913,8,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.32485006901,0.865914108103,0.00241071549494,0.999972913309,0.999972913309,0.999972913309,-1.0,-1.0,-1.0,0.624776404575,0.919972371575,0.00471308422607,2,20,33,1,3,7,3,0.0,1943.0789218,11359.5375877,6153.08307695,147674,0,12,15,1,0,1,2,0,7,8,1,0,0,1,3
TRUE,0602328c60b2f02711af8e422bc6ba26698fcbdcda35c33408bc8446d064f5d7,0,0,0,1,0,0,0,8,FALSE,0,0,0,2,0,0,0,8,86,0,144,27,1,24,0,0,0,0,0,0,0,0,0,0,0,144,0,0,8,0,1,27,0,1,1,0,0,-1,-1,-1.0,0,21,27,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,3364.6875,163276,8,16938.6296296,163220,186,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.946746741447,0.985909191204,0.842108166417,0.999991827862,0.999991827862,0.999991827862,-1.0,-1.0,-1.0,0.843520924759,0.844827445308,0.842204189038,1,15,30,1,5,6,4,0.0,3399.08330973,61183.4923521,18128.443773,489468,0,0,0,1,0,0,0,0,0,0,14,0,0,0,2
TRUE,06c825f78a70604d279c67a2823118d615b95a7e02ce5aa6f85fb5434b33bdbb,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,5,0,34,6,1,9,0,0,0,0,0,0,0,0,0,0,0,34,0,0,4,0,1,6,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818.5,7579,6,3165.33333333,7507,475,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.517664287022,0.825507962658,0.363845414607,0.999862712795,0.999862712795,0.999862712795,-1.0,-1.0,-1.0,0.239583333333,0.323482976387,0.108868753432,1,20,36,1,2,6,8,0.0,856.941151266,7283.998179,4855.99919067,29136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TRUE,090237df34f6b76cb49a2f7c756e10b2918b85ec850eb1a63ec10589b43db369,0,6,8,2,0,0,2,16,FALSE,0,0,0,0,0,0,0,16,2,0,52,20,3,10,0,0,0,0,0,0,0,0,0,0,0,52,0,0,8,0,3,20,0,3,3,0,1,1218573696,-18000,3525.96555556,3,14,26,1,4,5,3,1218573697,-17999,0,0,0,0,0,0,0,0,0,1111.34615385,8043,16,2558.7,7989,166,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.364888756291,0.751462715264,0.019110602821,0.623462008077,0.999933701291,0.0111381830839,-1.0,-1.0,-1.0,0.405594782292,0.751810783485,0.0198896126498,2,20,33,2,3,7,3,0.0,1160.24997769,7541.6240573,3016.64984917,60333,0,38,45,1,0,6,1,0,33,51,2,4,7,7,4
TRUE,090c4f44e92a2ba9a356eb86c04316ad06709b6915fb84518f06f52814c71053,0,0,5,2,0,0,5,1,FALSE,0,0,0,0,0,0,0,1,2,0,35,8,2,4,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,2,8,0,2,2,0,0,-1,-1,-1.0,0,31,51,2,0,3,17,0,0,0,0,0,0,0,1,0,0,0,926.257142857,15920,6,3371.0,15816,58,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.58132885273,0.832861690838,0.198089847895,0.940970993987,0.999882089376,0.882059898597,-1.0,-1.0,-1.0,0.16141964391,0.16141964391,0.16141964391,1,20,33,1,2,5,6,0.0,969.257115164,33923.966076,4240.49946994,33924,0,0,0,1,0,0,0,0,21,32,2,0,5,6,2
TRUE,099b3b78e8502bc64060b7a5d46e6fcb9c68a78c1e3101ab245537cf41a085e2,0,0,0,0,0,0,0,2,FALSE,0,0,0,1,0,0,0,2,2,0,28,6,1,4,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,1,6,0,1,1,0,0,-1,-1,-1.0,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1361.35714286,15909,8,5740.66666667,15838,714,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.361274960421,0.849037332108,0.0549256932741,0.999897860171,0.999897860171,0.999897860171,-1.0,-1.0,-1.0,0.0867422501404,0.118022572902,0.0554619273786,2,13,33,1,4,7,9,0.0,1398.64280719,19580.9902095,6526.99891217,39162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,0b0af0441ae21b74f75547d07044f71f50db87801d96603a189d7de90210df3e,0,0,0,0,0,0,0,0,TRUE,0,0,0,2,0,0,0,0,56,0,170,19,1,25,0,0,0,0,0,0,0,0,0,0,0,170,0,0,18,0,1,19,0,1,1,0,0,-1,-1,-1.0,1,26,43,1,2,6,9,0,0,0,0,0,0,0,0,0,0,0,261.7,3157,15,1383.15789474,2998,334,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.233935344228,0.765821402331,0.0544490557795,0.999920570305,0.999920570305,0.999920570305,-1.0,-1.0,-1.0,0.511455527093,0.766536269584,0.219722393217,3,46,79,1,12,14,7,0.0,296.229410022,2797.72206679,2650.47354471,50359,0,0,0,0,0,0,0,1,10,16,27,1,3,2,3
